transactionType,transactionAmount,Order Invoice Date,orderId,invoiceNumbr,Hsn Code,Marketplace Trasaction Type,cgst,sgst,igst,taxRate
Courier Fee,60,25-OCT-2025,67563201829,S0D3E8/25/1544,71131110,COD Vendor Invoice,0,0,6.79,0.18
Marketing Fee,-42.29,25-OCT-2025,67563201829,S0D3E8/25/1544,71131110,NCOD Vendor Invoice,0,0,6.79,0.18
Payment Collection Fee,20,25-OCT-2025,67563201829,S0D3E8/25/1544,71131110,COD Vendor Invoice,0,0,6.79,0.18
Courier Fee,60,28-OCT-2025,67564492751,S0D3E8/25/1551,71171100,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,28-OCT-2025,67564492751,S0D3E8/25/1551,71171100,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,28-OCT-2025,67564492751,S0D3E8/25/1551,71171100,COD Vendor Invoice,0,0,10.75,0.18
Courier Fee,60,13-NOV-2025,67920523567,S0D3E8/25/1799,71171100,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,13-NOV-2025,67920523567,S0D3E8/25/1799,71171100,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,13-NOV-2025,67920523567,S0D3E8/25/1799,71171100,COD Vendor Invoice,0,0,10.75,0.18
Courier Fee,60,25-OCT-2025,67563058039,S0D3E8/25/1543,71171100,COD Vendor Invoice,0,0,7.7,0.18
Marketing Fee,-37.2,25-OCT-2025,67563058039,S0D3E8/25/1543,71171100,NCOD Vendor Invoice,0,0,7.7,0.18
Payment Collection Fee,20,25-OCT-2025,67563058039,S0D3E8/25/1543,71171100,COD Vendor Invoice,0,0,7.7,0.18
Courier Fee,60,01-NOV-2025,67668928312,S0D3E8/25/1652,71171100,COD Vendor Invoice,0,0,9.23,0.18
Marketing Fee,-28.73,01-NOV-2025,67668928312,S0D3E8/25/1652,71171100,NCOD Vendor Invoice,0,0,9.23,0.18
Payment Collection Fee,20,01-NOV-2025,67668928312,S0D3E8/25/1652,71171100,COD Vendor Invoice,0,0,9.23,0.18
Courier Fee,60,10-NOV-2025,67790145781,S0D3E8/25/1740,71171100,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,10-NOV-2025,67790145781,S0D3E8/25/1740,71171100,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,10-NOV-2025,67790145781,S0D3E8/25/1740,71171100,COD Vendor Invoice,0,0,10.75,0.18
Courier Fee,-60,30-NOV-2025,68186551662,S0D3E8/25/1947,70181010,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,30-NOV-2025,68186551662,S0D3E8/25/1947,70181010,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,30-NOV-2025,68186551662,S0D3E8/25/1947,70181010,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,60,29-OCT-2025,67631765463,S0D3E8/25/1593,71171100,COD Vendor Invoice,0,0,7.86,0.18
Marketing Fee,-36.36,29-OCT-2025,67631765463,S0D3E8/25/1593,71171100,NCOD Vendor Invoice,0,0,7.86,0.18
Payment Collection Fee,20,29-OCT-2025,67631765463,S0D3E8/25/1593,71171100,COD Vendor Invoice,0,0,7.86,0.18
Courier Fee,-60,02-DEC-2025,68248315113,S0D3E8/25/1965,71171100,COD Vendor Invoice,0,0,-7.86,0.18
Marketing Fee,36.36,02-DEC-2025,68248315113,S0D3E8/25/1965,71171100,NCOD Vendor Invoice,0,0,-7.86,0.18
Payment Collection Fee,-20,02-DEC-2025,68248315113,S0D3E8/25/1965,71171100,COD Vendor Invoice,0,0,-7.86,0.18
Courier Fee,-60,03-DEC-2025,68261970254,S0D3E8/25/1973,71131110,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,03-DEC-2025,68261970254,S0D3E8/25/1973,71131110,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,03-DEC-2025,68261970254,S0D3E8/25/1973,71131110,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,03-DEC-2025,68275488544,S0D3E8/25/1980,71131110,COD Vendor Invoice,0,0,-10.45,0.18
Marketing Fee,21.95,03-DEC-2025,68275488544,S0D3E8/25/1980,71131110,NCOD Vendor Invoice,0,0,-10.45,0.18
Payment Collection Fee,-20,03-DEC-2025,68275488544,S0D3E8/25/1980,71131110,COD Vendor Invoice,0,0,-10.45,0.18
Courier Fee,-60,02-DEC-2025,68230250100,S0D3E8/25/1962,70181010,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68230250100,S0D3E8/25/1962,70181010,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68230250100,S0D3E8/25/1962,70181010,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68232387224,S0D3E8/25/1963,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68232387224,S0D3E8/25/1963,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68232387224,S0D3E8/25/1963,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68249932833,S0D3E8/25/1966,71131110,COD Vendor Invoice,0,0,-11.21,0.18
Marketing Fee,17.71,02-DEC-2025,68249932833,S0D3E8/25/1966,71131110,NCOD Vendor Invoice,0,0,-11.21,0.18
Payment Collection Fee,-20,02-DEC-2025,68249932833,S0D3E8/25/1966,71131110,COD Vendor Invoice,0,0,-11.21,0.18
Courier Fee,-60,03-DEC-2025,68263633864,S0D3E8/25/1974,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,03-DEC-2025,68263633864,S0D3E8/25/1974,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,03-DEC-2025,68263633864,S0D3E8/25/1974,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,02-DEC-2025,68255818360,S0D3E8/25/1968,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68255818360,S0D3E8/25/1968,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68255818360,S0D3E8/25/1968,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68225910807,S0D3E8/25/1961,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Marketing Fee,18.56,02-DEC-2025,68225910807,S0D3E8/25/1961,71131110,NCOD Vendor Invoice,0,0,-11.06,0.18
Payment Collection Fee,-20,02-DEC-2025,68225910807,S0D3E8/25/1961,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Courier Fee,-60,02-DEC-2025,68257447861,S0D3E8/25/1969,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68257447861,S0D3E8/25/1969,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68257447861,S0D3E8/25/1969,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68257832352,S0D3E8/25/1972,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68257832352,S0D3E8/25/1972,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68257832352,S0D3E8/25/1972,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68255069674,S0D3E8/25/1967,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68255069674,S0D3E8/25/1967,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68255069674,S0D3E8/25/1967,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68217727458,S0D3E8/25/1960,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68217727458,S0D3E8/25/1960,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68217727458,S0D3E8/25/1960,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68257427875,S0D3E8/25/1969,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,02-DEC-2025,68257427875,S0D3E8/25/1969,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,02-DEC-2025,68257427875,S0D3E8/25/1969,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68270721220,S0D3E8/25/1977,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68270721220,S0D3E8/25/1977,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68270721220,S0D3E8/25/1977,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68267806423,S0D3E8/25/1976,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,03-DEC-2025,68267806423,S0D3E8/25/1976,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,03-DEC-2025,68267806423,S0D3E8/25/1976,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,02-DEC-2025,68261438907,S0D3E8/25/1970,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Marketing Fee,18.56,02-DEC-2025,68261438907,S0D3E8/25/1970,71131110,NCOD Vendor Invoice,0,0,-11.06,0.18
Payment Collection Fee,-20,02-DEC-2025,68261438907,S0D3E8/25/1970,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Courier Fee,-60,03-DEC-2025,68274239612,S0D3E8/25/1979,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68274239612,S0D3E8/25/1979,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68274239612,S0D3E8/25/1979,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68253138315,S0D3E8/25/1971,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68253138315,S0D3E8/25/1971,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68253138315,S0D3E8/25/1971,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68272494074,S0D3E8/25/1978,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68272494074,S0D3E8/25/1978,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68272494074,S0D3E8/25/1978,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68267605985,S0D3E8/25/1975,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68267605985,S0D3E8/25/1975,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68267605985,S0D3E8/25/1975,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,02-DEC-2025,68245216913,S0D3E8/25/1964,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,02-DEC-2025,68245216913,S0D3E8/25/1964,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,02-DEC-2025,68245216913,S0D3E8/25/1964,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,60,12-NOV-2025,67878046860,S0D3E8/25/1775,70181090,COD Vendor Invoice,0,0,13.5,0.18
Marketing Fee,-5,12-NOV-2025,67878046860,S0D3E8/25/1775,70181090,NCOD Vendor Invoice,0,0,13.5,0.18
Payment Collection Fee,20,12-NOV-2025,67878046860,S0D3E8/25/1775,70181090,COD Vendor Invoice,0,0,13.5,0.18
Courier Fee,60,28-OCT-2025,67596856331,S0D3E8/25/1574,71171100,COD Vendor Invoice,0,0,10.91,0.18
Marketing Fee,-19.41,28-OCT-2025,67596856331,S0D3E8/25/1574,71171100,NCOD Vendor Invoice,0,0,10.91,0.18
Payment Collection Fee,20,28-OCT-2025,67596856331,S0D3E8/25/1574,71171100,COD Vendor Invoice,0,0,10.91,0.18
Courier Fee,-60,03-DEC-2025,68267801315,S0D3E8/25/1985,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68267801315,S0D3E8/25/1985,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68267801315,S0D3E8/25/1985,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68288185206,S0D3E8/25/1992,71171100,COD Vendor Invoice,0,0,-7.7,0.18
Marketing Fee,37.2,03-DEC-2025,68288185206,S0D3E8/25/1992,71171100,NCOD Vendor Invoice,0,0,-7.7,0.18
Payment Collection Fee,-20,03-DEC-2025,68288185206,S0D3E8/25/1992,71171100,COD Vendor Invoice,0,0,-7.7,0.18
Courier Fee,-60,03-DEC-2025,68274983208,S0D3E8/25/1987,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68274983208,S0D3E8/25/1987,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68274983208,S0D3E8/25/1987,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68287744223,S0D3E8/25/1989,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68287744223,S0D3E8/25/1989,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68287744223,S0D3E8/25/1989,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68268754423,S0D3E8/25/1986,70181010,COD Vendor Invoice,0,0,-10.3,0.18
Marketing Fee,22.8,03-DEC-2025,68268754423,S0D3E8/25/1986,70181010,NCOD Vendor Invoice,0,0,-10.3,0.18
Payment Collection Fee,-20,03-DEC-2025,68268754423,S0D3E8/25/1986,70181010,COD Vendor Invoice,0,0,-10.3,0.18
Courier Fee,-60,03-DEC-2025,68288087579,S0D3E8/25/1991,71131110,COD Vendor Invoice,0,0,-13.5,0.18
Marketing Fee,5,03-DEC-2025,68288087579,S0D3E8/25/1991,71131110,NCOD Vendor Invoice,0,0,-13.5,0.18
Payment Collection Fee,-20,03-DEC-2025,68288087579,S0D3E8/25/1991,71131110,COD Vendor Invoice,0,0,-13.5,0.18
Courier Fee,-60,03-DEC-2025,68287985756,S0D3E8/25/1990,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,03-DEC-2025,68287985756,S0D3E8/25/1990,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,03-DEC-2025,68287985756,S0D3E8/25/1990,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,03-DEC-2025,68294518323,S0D3E8/25/1995,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68294518323,S0D3E8/25/1995,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68294518323,S0D3E8/25/1995,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68266937570,S0D3E8/25/1984,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68266937570,S0D3E8/25/1984,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68266937570,S0D3E8/25/1984,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68290394820,S0D3E8/25/1993,71131110,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68290394820,S0D3E8/25/1993,71131110,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68290394820,S0D3E8/25/1993,71131110,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68268733037,S0D3E8/25/1986,70181010,COD Vendor Invoice,0,0,-10.14,0.18
Marketing Fee,23.64,03-DEC-2025,68268733037,S0D3E8/25/1986,70181010,NCOD Vendor Invoice,0,0,-10.14,0.18
Payment Collection Fee,-20,03-DEC-2025,68268733037,S0D3E8/25/1986,70181010,COD Vendor Invoice,0,0,-10.14,0.18
Courier Fee,-60,03-DEC-2025,68282563004,S0D3E8/25/1988,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Marketing Fee,20.25,03-DEC-2025,68282563004,S0D3E8/25/1988,71171100,NCOD Vendor Invoice,0,0,-10.75,0.18
Payment Collection Fee,-20,03-DEC-2025,68282563004,S0D3E8/25/1988,71171100,COD Vendor Invoice,0,0,-10.75,0.18
Courier Fee,-60,03-DEC-2025,68263765813,S0D3E8/25/1981,71171100,COD Vendor Invoice,0,0,-4.65,0.18
Marketing Fee,54.15,03-DEC-2025,68263765813,S0D3E8/25/1981,71171100,NCOD Vendor Invoice,0,0,-4.65,0.18
Payment Collection Fee,-20,03-DEC-2025,68263765813,S0D3E8/25/1981,71171100,COD Vendor Invoice,0,0,-4.65,0.18
Courier Fee,-60,03-DEC-2025,68264233525,S0D3E8/25/1983,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Marketing Fee,18.56,03-DEC-2025,68264233525,S0D3E8/25/1983,71131110,NCOD Vendor Invoice,0,0,-11.06,0.18
Payment Collection Fee,-20,03-DEC-2025,68264233525,S0D3E8/25/1983,71131110,COD Vendor Invoice,0,0,-11.06,0.18
Courier Fee,-60,03-DEC-2025,68264018298,S0D3E8/25/1982,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Marketing Fee,19.41,03-DEC-2025,68264018298,S0D3E8/25/1982,71171100,NCOD Vendor Invoice,0,0,-10.91,0.18
Payment Collection Fee,-20,03-DEC-2025,68264018298,S0D3E8/25/1982,71171100,COD Vendor Invoice,0,0,-10.91,0.18
Courier Fee,-60,03-DEC-2025,68292130208,S0D3E8/25/1994,71131110,COD Vendor Invoice,0,0,-11.21,0.18
Marketing Fee,17.71,03-DEC-2025,68292130208,S0D3E8/25/1994,71131110,NCOD Vendor Invoice,0,0,-11.21,0.18
Payment Collection Fee,-20,03-DEC-2025,68292130208,S0D3E8/25/1994,71131110,COD Vendor Invoice,0,0,-11.21,0.18
Courier Fee,60,07-NOV-2025,67778215066,S0D3E8/25/1729,71171100,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,07-NOV-2025,67778215066,S0D3E8/25/1729,71171100,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,07-NOV-2025,67778215066,S0D3E8/25/1729,71171100,COD Vendor Invoice,0,0,10.75,0.18
Courier Fee,60,07-NOV-2025,67772941245,S0D3E8/25/1727,71171100,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,07-NOV-2025,67772941245,S0D3E8/25/1727,71171100,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,07-NOV-2025,67772941245,S0D3E8/25/1727,71171100,COD Vendor Invoice,0,0,10.75,0.18
Courier Fee,60,01-NOV-2025,67671937312,S0D3E8/25/1656,71171100,COD Vendor Invoice,0,0,10.75,0.18
Marketing Fee,-20.25,01-NOV-2025,67671937312,S0D3E8/25/1656,71171100,NCOD Vendor Invoice,0,0,10.75,0.18
Payment Collection Fee,20,01-NOV-2025,67671937312,S0D3E8/25/1656,71171100,COD Vendor Invoice,0,0,10.75,0.18
Courier Fee,60,29-OCT-2025,67636204097,S0D3E8/25/1603,71171100,COD Vendor Invoice,0,0,7.7,0.18
Marketing Fee,-37.2,29-OCT-2025,67636204097,S0D3E8/25/1603,71171100,NCOD Vendor Invoice,0,0,7.7,0.18
Payment Collection Fee,20,29-OCT-2025,67636204097,S0D3E8/25/1603,71171100,COD Vendor Invoice,0,0,7.7,0.18
Courier Fee,60,14-NOV-2025,67914981971,S0D3E8/25/1809,70181090,COD Vendor Invoice,0,0,9.53,0.18
Marketing Fee,-27.03,14-NOV-2025,67914981971,S0D3E8/25/1809,70181090,NCOD Vendor Invoice,0,0,9.53,0.18
Payment Collection Fee,20,14-NOV-2025,67914981971,S0D3E8/25/1809,70181090,COD Vendor Invoice,0,0,9.53,0.18
Courier Fee,60,30-OCT-2025,67637113711,S0D3E8/25/1610,71171100,COD Vendor Invoice,0,0,9.23,0.18
Marketing Fee,-28.73,30-OCT-2025,67637113711,S0D3E8/25/1610,71171100,NCOD Vendor Invoice,0,0,9.23,0.18
Payment Collection Fee,20,30-OCT-2025,67637113711,S0D3E8/25/1610,71171100,COD Vendor Invoice,0,0,9.23,0.18
